image_path,source_dataset,split,latex,mhchem_candidate,normalization_status,normalization_notes,reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_9.png,PEaCE_real_world_test_set,real_world_test,G C - t h e r m a l \; c o n d u c t i v i t y \; d e t e c t i o n \; ( G C - T C D ),\ce{GC-thermal conductivity detection (GC-TCD)},expression_only,no reaction arrow detected,"{""source_latex"": ""G C - t h e r m a l \\; c o n d u c t i v i t y \\; d e t e c t i o n \\; ( G C - T C D )"", ""plain_candidate"": ""GC-thermal conductivity detection (GC-TCD)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\2_1.png,PEaCE_real_world_test_set,real_world_test,P l a s t i c \; M i x t u r e,\ce{Plastic Mixture},expression_only,no reaction arrow detected,"{""source_latex"": ""P l a s t i c \\; M i x t u r e"", ""plain_candidate"": ""Plastic Mixture"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\4_44.png,PEaCE_real_world_test_set,real_world_test,M A H s,\ce{MAHs},expression_only,no reaction arrow detected,"{""source_latex"": ""M A H s"", ""plain_candidate"": ""MAHs"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\4_50.png,PEaCE_real_world_test_set,real_world_test,P A H s,\ce{PAHs},expression_only,no reaction arrow detected,"{""source_latex"": ""P A H s"", ""plain_candidate"": ""PAHs"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\5_25.png,PEaCE_real_world_test_set,real_world_test,M g O,\ce{MgO},expression_only,no reaction arrow detected,"{""source_latex"": ""M g O"", ""plain_candidate"": ""MgO"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\5_4.png,PEaCE_real_world_test_set,real_world_test,B E T \; s u r f a c e \; a r e a,\ce{BET surface area},expression_only,no reaction arrow detected,"{""source_latex"": ""B E T \\; s u r f a c e \\; a r e a"", ""plain_candidate"": ""BET surface area"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\7_10.png,PEaCE_real_world_test_set,real_world_test,g e n e r a l \\ m e t h y l - a r o m a t i c \; ( C H _ { 3 } - A R ) \\ m e t h y l - a r o m a t i c \; a t \; o r t h o \; p o s i t i o n \; o f \; a \; h y d r o x y l \; o r \\ m e t h o x y l \; g r o u p \; ( C H _ { 3 } - A R ' ),\ce{general \ methyl-aromatic (CH3-AR)\ methyl-aromatic at ortho position of a hydroxyl or \ methoxyl group (CH3-AR ')},expression_only,no reaction arrow detected,"{""source_latex"": ""g e n e r a l \\\\ m e t h y l - a r o m a t i c \\; ( C H _ { 3 } - A R ) \\\\ m e t h y l - a r o m a t i c \\; a t \\; o r t h o \\; p o s i t i o n \\; o f \\; a \\; h y d r o x y l \\; o r \\\\ m e t h o x y l \\; g r o u p \\; ( C H _ { 3 } - A R ' )"", ""plain_candidate"": ""general \\ methyl-aromatic (CH3-AR)\\ methyl-aromatic at ortho position of a hydroxyl or \\ methoxyl group (CH3-AR ')"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\8_3.png,PEaCE_real_world_test_set,real_world_test,S _ { B E T } ^ { b } \; ( m ^ { 2 } \; g ^ { - 1 } ),\ce{SBET^b (m^2 g^-1)},expression_only,no reaction arrow detected,"{""source_latex"": ""S _ { B E T } ^ { b } \\; ( m ^ { 2 } \\; g ^ { - 1 } )"", ""plain_candidate"": ""SBET^b (m^2 g^-1)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_10.png,PEaCE_real_world_test_set,real_world_test,4 ^ { \circ } C / m i n \quad H _ { 2 } \; f l o w \quad 3 0 \; m L / m i n,\ce{4^deg C/min H2 flow 30 mL/min},expression_only,no reaction arrow detected,"{""source_latex"": ""4 ^ { \\circ } C / m i n \\quad H _ { 2 } \\; f l o w \\quad 3 0 \\; m L / m i n"", ""plain_candidate"": ""4^deg C/min H2 flow 30 mL/min"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_12.png,PEaCE_real_world_test_set,real_world_test,3 0 0 ^ { \circ } C \; ( 1 5 \; m i n ) \quad A i r \; f l o w \quad 4 0 0 \; mL / m i n,\ce{300^deg C (15 min) Air flow 400 mL/min},expression_only,no reaction arrow detected,"{""source_latex"": ""3 0 0 ^ { \\circ } C \\; ( 1 5 \\; m i n ) \\quad A i r \\; f l o w \\quad 4 0 0 \\; mL / m i n"", ""plain_candidate"": ""300^deg C (15 min) Air flow 400 mL/min"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_14.png,PEaCE_real_world_test_set,real_world_test,8 1 . 5 \; m i n \quad M a k e \; u p \; f l o w \; ( N _ { 2 } ) \quad 2 5 \; m L / m i n,\ce{81 . 5 min Make up flow (N2) 25 mL/min},expression_only,no reaction arrow detected,"{""source_latex"": ""8 1 . 5 \\; m i n \\quad M a k e \\; u p \\; f l o w \\; ( N _ { 2 } ) \\quad 2 5 \\; m L / m i n"", ""plain_candidate"": ""81 . 5 min Make up flow (N2) 25 mL/min"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_16.png,PEaCE_real_world_test_set,real_world_test,1 \; \mu 1 \quad C o l u m n \pm M a k e u p \quad 2 6 \; m L / m i n,\ce{1 1 Column Makeup 26 mL/min},expression_only,no reaction arrow detected,"{""source_latex"": ""1 \\; \\mu 1 \\quad C o l u m n \\pm M a k e u p \\quad 2 6 \\; m L / m i n"", ""plain_candidate"": ""1 1 Column Makeup 26 mL/min"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_16.png,PEaCE_real_world_test_set,real_world_test,[ c m \; s ^ { - 1 } ] \; \; \; \;\; [ k J m _ { N } ^ { - 3 } ],\ce{[cm s^-1] [kJmN^-3]},expression_only,no reaction arrow detected,"{""source_latex"": ""[ c m \\; s ^ { - 1 } ] \\; \\; \\; \\;\\; [ k J m _ { N } ^ { - 3 } ]"", ""plain_candidate"": ""[cm s^-1] [kJmN^-3]"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_51.png,PEaCE_real_world_test_set,real_world_test,^ { a ) } M N _ { C A R B } \; a n d \; M N _ { G R I } \; - \; m e t h a n e \; n u m b e r s \; o b t a i n e d \; b y,\ce{^a)MNCARB and MNGRI - methane numbers obtained by},expression_only,no reaction arrow detected,"{""source_latex"": ""^ { a ) } M N _ { C A R B } \\; a n d \\; M N _ { G R I } \\; - \\; m e t h a n e \\; n u m b e r s \\; o b t a i n e d \\; b y"", ""plain_candidate"": ""^a)MNCARB and MNGRI - methane numbers obtained by"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_54.png,PEaCE_real_world_test_set,real_world_test,M N \; = \; ( M N _ { C A R B } + M N _ { G R I } ) / 2 .,\ce{MN = (MNCARB+MNGRI)/2 .},needs_review,"heuristic parse; verify stoichiometry, charge, state, and conditions","{""source_latex"": ""M N \\; = \\; ( M N _ { C A R B } + M N _ { G R I } ) / 2 ."", ""plain_candidate"": ""MN = (MNCARB+MNGRI)/2 ."", ""arrow"": ""="", ""conditions"": [], ""reactants"": [{""coefficient"": ""1"", ""formula"": ""MN"", ""state"": """", ""charge"": """"}], ""products"": [{""coefficient"": ""1"", ""formula"": ""(MNCARB+MNGRI)/2 ."", ""state"": """", ""charge"": """"}]}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_8.png,PEaCE_real_world_test_set,real_world_test,[ ^ { \circ } C ] \quad V e l o c i t y \quad G a s,\ce{[^deg C] Velocity Gas},expression_only,no reaction arrow detected,"{""source_latex"": ""[ ^ { \\circ } C ] \\quad V e l o c i t y \\quad G a s"", ""plain_candidate"": ""[^deg C] Velocity Gas"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\17_2.png,PEaCE_real_world_test_set,real_world_test,^ { a } \; S S A \; w a s \; c a l c u l a t e d \; b y \; t h e \; B E T \; m e t h o d .,\ce{^a SSA was calculated by the BET method .},expression_only,no reaction arrow detected,"{""source_latex"": ""^ { a } \\; S S A \\; w a s \\; c a l c u l a t e d \\; b y \\; t h e \\; B E T \\; m e t h o d ."", ""plain_candidate"": ""^a SSA was calculated by the BET method ."", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\17_4.png,PEaCE_real_world_test_set,real_world_test,^ { c } \; T h e \; t o t a l \; p o r e \; v o l u m e \; w a s \; c a l c u l a t e d \; u s i n g \; t h e \; D F T \; m e t h o d .,\ce{^c The total pore volume was calculated using the DFT method .},expression_only,no reaction arrow detected,"{""source_latex"": ""^ { c } \\; T h e \\; t o t a l \\; p o r e \\; v o l u m e \\; w a s \\; c a l c u l a t e d \\; u s i n g \\; t h e \\; D F T \\; m e t h o d ."", ""plain_candidate"": ""^c The total pore volume was calculated using the DFT method ."", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\17_5.png,PEaCE_real_world_test_set,real_world_test,^ { d } \; T h e \; m i c r o p o r e \; v o l u m e \; w a s \; c a l c u l a t e d \; u s i n g \; t h e \; D F T \; m e t h o d .,\ce{^d The micropore volume was calculated using the DFT method .},expression_only,no reaction arrow detected,"{""source_latex"": ""^ { d } \\; T h e \\; m i c r o p o r e \\; v o l u m e \\; w a s \\; c a l c u l a t e d \\; u s i n g \\; t h e \\; D F T \\; m e t h o d ."", ""plain_candidate"": ""^d The micropore volume was calculated using the DFT method ."", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_11.png,PEaCE_real_world_test_set,real_world_test,[ ( 1 - \alpha ) l n ( 1 - \alpha ) ] + \alpha,\ce{[(1- )ln(1- )]+},expression_only,no reaction arrow detected,"{""source_latex"": ""[ ( 1 - \\alpha ) l n ( 1 - \\alpha ) ] + \\alpha"", ""plain_candidate"": ""[(1- )ln(1- )]+"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_12.png,PEaCE_real_world_test_set,real_world_test,"t h r e e - d i m e n s i o n a l \; d i f f u s i o n , \; J a n d e l \; ( D 3 ) \quad 3 ( 1 - \alpha ) ^ { 2 / 3 } / [ 2 ( 1 - ( 1 - \alpha ) ^ { 1 / 3 } ) ]","\ce{three-dimensional diffusion, Jandel (D3) 3(1- )^2/3/[2(1-(1- )^1/3)]}",expression_only,no reaction arrow detected,"{""source_latex"": ""t h r e e - d i m e n s i o n a l \\; d i f f u s i o n , \\; J a n d e l \\; ( D 3 ) \\quad 3 ( 1 - \\alpha ) ^ { 2 / 3 } / [ 2 ( 1 - ( 1 - \\alpha ) ^ { 1 / 3 } ) ]"", ""plain_candidate"": ""three-dimensional diffusion, Jandel (D3) 3(1- )^2/3/[2(1-(1- )^1/3)]"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_14.png,PEaCE_real_world_test_set,real_world_test,"d i f f u s i o n \; c o n t r o l , \; G i n s t l i n g - B r o u n s h t e i n \; ( D 4 ) \quad 3 / 2 [ ( 1 - \alpha ) ^ { - 1 / 3 } - 1 ]","\ce{diffusion control, Ginstling-Brounshtein (D4) 3/2[(1- )^-1/3-1]}",expression_only,no reaction arrow detected,"{""source_latex"": ""d i f f u s i o n \\; c o n t r o l , \\; G i n s t l i n g - B r o u n s h t e i n \\; ( D 4 ) \\quad 3 / 2 [ ( 1 - \\alpha ) ^ { - 1 / 3 } - 1 ]"", ""plain_candidate"": ""diffusion control, Ginstling-Brounshtein (D4) 3/2[(1- )^-1/3-1]"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_18.png,PEaCE_real_world_test_set,real_world_test,t h r e e - d i m e n s i o n a l \; ( A 3 ) \quad 3 ( 1 - \alpha ) [ - l n ( 1 - \alpha ) ] ^ { 3 / 2 },\ce{three-dimensional (A3) 3(1- )[-ln(1- )]^3/2},expression_only,no reaction arrow detected,"{""source_latex"": ""t h r e e - d i m e n s i o n a l \\; ( A 3 ) \\quad 3 ( 1 - \\alpha ) [ - l n ( 1 - \\alpha ) ] ^ { 3 / 2 }"", ""plain_candidate"": ""three-dimensional (A3) 3(1- )[-ln(1- )]^3/2"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_20.png,PEaCE_real_world_test_set,real_world_test,f o u r - d i m e n s i o n a l \; ( A 4 ) \quad 4 ( 1 - \alpha ) [ - l n ( 1 - \alpha ) ] ^ { 3 / 4 },\ce{four-dimensional (A4) 4(1- )[-ln(1- )]^3/4},expression_only,no reaction arrow detected,"{""source_latex"": ""f o u r - d i m e n s i o n a l \\; ( A 4 ) \\quad 4 ( 1 - \\alpha ) [ - l n ( 1 - \\alpha ) ] ^ { 3 / 4 }"", ""plain_candidate"": ""four-dimensional (A4) 4(1- )[-ln(1- )]^3/4"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_24.png,PEaCE_real_world_test_set,real_world_test,t w o \; d i m e n s i o n s \; ( R 2 ) \quad 2 ( 1 - \alpha ) ^ { 1 / 2 },\ce{two dimensions (R2) 2(1- )^1/2},expression_only,no reaction arrow detected,"{""source_latex"": ""t w o \\; d i m e n s i o n s \\; ( R 2 ) \\quad 2 ( 1 - \\alpha ) ^ { 1 / 2 }"", ""plain_candidate"": ""two dimensions (R2) 2(1- )^1/2"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_26.png,PEaCE_real_world_test_set,real_world_test,t h r e e \; d i m e n s i o n s \; ( R 3 ) \quad 3 ( 1 - \alpha ) ^ { 2 / 3 },\ce{three dimensions (R3) 3(1- )^2/3},expression_only,no reaction arrow detected,"{""source_latex"": ""t h r e e \\; d i m e n s i o n s \\; ( R 3 ) \\quad 3 ( 1 - \\alpha ) ^ { 2 / 3 }"", ""plain_candidate"": ""three dimensions (R3) 3(1- )^2/3"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_29.png,PEaCE_real_world_test_set,real_world_test,p o w e r \; l a w \; ( P 2 ) \quad 2 \alpha ^ { 1 / 2 },\ce{power law (P2) 2 ^1/2},expression_only,no reaction arrow detected,"{""source_latex"": ""p o w e r \\; l a w \\; ( P 2 ) \\quad 2 \\alpha ^ { 1 / 2 }"", ""plain_candidate"": ""power law (P2) 2 ^1/2"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_30.png,PEaCE_real_world_test_set,real_world_test,p o w e r \; l a w \; ( P 3 ) \quad 3 \alpha ^ { 2 / 3 },\ce{power law (P3) 3 ^2/3},expression_only,no reaction arrow detected,"{""source_latex"": ""p o w e r \\; l a w \\; ( P 3 ) \\quad 3 \\alpha ^ { 2 / 3 }"", ""plain_candidate"": ""power law (P3) 3 ^2/3"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_31.png,PEaCE_real_world_test_set,real_world_test,p o w e r ; l a w ; ( P 4 ) \quad 4 alpha ^ { 3 / 4 },\ce{power ; law ;(P4) 4alpha^3/4},expression_only,no reaction arrow detected,"{""source_latex"": ""p o w e r ; l a w ; ( P 4 ) \\quad 4 alpha ^ { 3 / 4 }"", ""plain_candidate"": ""power ; law ;(P4) 4alpha^3/4"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_3.png,PEaCE_real_world_test_set,real_world_test,f i r s t \; o r d e r ( F 1 ) \quad 1 - \alpha,\ce{first order(F1) 1-},expression_only,no reaction arrow detected,"{""source_latex"": ""f i r s t \\; o r d e r ( F 1 ) \\quad 1 - \\alpha"", ""plain_candidate"": ""first order(F1) 1-"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_5.png,PEaCE_real_world_test_set,real_world_test,s e c o n d \; o r d e r \; ( F 2 ) \quad ( 1 - \alpha ) ^ { 2 },\ce{second order (F2) (1- )^2},expression_only,no reaction arrow detected,"{""source_latex"": ""s e c o n d \\; o r d e r \\; ( F 2 ) \\quad ( 1 - \\alpha ) ^ { 2 }"", ""plain_candidate"": ""second order (F2) (1- )^2"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_9.png,PEaCE_real_world_test_set,real_world_test,o n e - d i m e n s i o n a l \; d i f f u s i o n \; ( D 1 ) \quad 1 / 2 \alpha,\ce{one-dimensional diffusion (D1) 1/2},expression_only,no reaction arrow detected,"{""source_latex"": ""o n e - d i m e n s i o n a l \\; d i f f u s i o n \\; ( D 1 ) \\quad 1 / 2 \\alpha"", ""plain_candidate"": ""one-dimensional diffusion (D1) 1/2"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\20_3.png,PEaCE_real_world_test_set,real_world_test,T _ { s } ^ { a } \; ( ^ { \circ } C ),\ce{Ts^a (^deg C)},expression_only,no reaction arrow detected,"{""source_latex"": ""T _ { s } ^ { a } \\; ( ^ { \\circ } C )"", ""plain_candidate"": ""Ts^a (^deg C)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\21_7.png,PEaCE_real_world_test_set,real_world_test,E _ { O } \; ( k c a l \; m o l ^ { - 1 } ),\ce{EO (kcal mol^-1)},expression_only,no reaction arrow detected,"{""source_latex"": ""E _ { O } \\; ( k c a l \\; m o l ^ { - 1 } )"", ""plain_candidate"": ""EO (kcal mol^-1)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\6_0.png,PEaCE_real_world_test_set,real_world_test,P r o x i m a t e \; A n a l y s i s,\ce{Proximate Analysis},expression_only,no reaction arrow detected,"{""source_latex"": ""P r o x i m a t e \\; A n a l y s i s"", ""plain_candidate"": ""Proximate Analysis"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\6_8.png,PEaCE_real_world_test_set,real_world_test,U l t i m a t e \; A n a l y s i s,\ce{Ultimate Analysis},expression_only,no reaction arrow detected,"{""source_latex"": ""U l t i m a t e \\; A n a l y s i s"", ""plain_candidate"": ""Ultimate Analysis"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\7_0.png,PEaCE_real_world_test_set,real_world_test,F u n c t i o n a l \; G r o u p,\ce{Functional Group},expression_only,no reaction arrow detected,"{""source_latex"": ""F u n c t i o n a l \\; G r o u p"", ""plain_candidate"": ""Functional Group"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\7_1.png,PEaCE_real_world_test_set,real_world_test,I n t e g r a t i o n \; R e g i o n ( p p m ),\ce{Integration Region(ppm)},expression_only,no reaction arrow detected,"{""source_latex"": ""I n t e g r a t i o n \\; R e g i o n ( p p m )"", ""plain_candidate"": ""Integration Region(ppm)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
