image_path,source_dataset,source_label,target_label,split
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/110.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/111.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/112.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/12.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/13.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/14.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/15.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/16.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/17.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/18.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/19.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/2.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/20.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/21.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/22.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/23.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/24.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/25.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/26.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27734.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27735.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27736.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27737.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27738.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27739.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27740.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27741.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27742.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27743.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27744.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27745.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27746.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27747.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27748.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27749.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27750.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27751.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27752.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27753.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27754.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27755.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27756.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27757.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27758.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27759.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27760.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27761.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27762.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27763.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27764.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27765.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27766.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27767.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27768.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27769.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27770.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27771.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27772.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27773.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27774.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27775.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27776.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27777.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27778.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27779.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27780.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27781.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27782.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27783.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27784.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27785.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27786.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27787.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27788.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27789.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27790.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27791.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27792.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27793.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/27794.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/28.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/29.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/3.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/30.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/31.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/32.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/33.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/34.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/35.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/36.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/37.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/38.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/39.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/4.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/40.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/41.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/42.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/43.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/44.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/45.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/46.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/47.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/48.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/49.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/5.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/50.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/51.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/52.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,val
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/53.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/54.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/55.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/56.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/57.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/58.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/586.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/587.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/589.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/59.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/591.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/597.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/6.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/60.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/61.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/615.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/62.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/63.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/64.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
